rule,city,state,venue,venue_id,offering_id,name,price_cents,description
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","f5be4566-e05b-4c30-a904-0e487bd74236","$14.95","1495",""
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","105f9948-fe1a-4797-a653-3a6febb75f7c","$14.95","1495",""
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","571ee412-7160-467b-a194-bb8b8afd77d7","$14.95","1495",""
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","9bbb109f-7ffd-41cd-939e-f732028489d7","$15.95","1595",""
"price-as-name","daly-city","CA","UNI Pizzeria & Grill","0fad2587-0707-4a77-9985-6ebddb89bd13","de6d5c6f-2e2d-40e4-9133-0505cf57c2c8","$16.95","1695",""
"bare-soft-drink","san-jose","CA","D-D Delight Restaurant","f24c63ba-2c4b-46f0-9fd5-6ccf05250f51","3ff182ea-7e45-469c-ae3e-302464268d84","Coffee","500","Available 9 AM - 12 PM Tuesday - Friday"
"price-as-name","san-luis-obispo","CA","CaliPaso","195152cc-701b-4af2-a19e-b6e1bf2ca4ee","6fa5b750-6b60-4b10-98be-d692ac3e1c97","$22","2200",""
"price-as-name","san-luis-obispo","CA","CaliPaso","195152cc-701b-4af2-a19e-b6e1bf2ca4ee","ea837fdf-720d-4b7a-ba82-950326ac9967","$22","2200",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","2aefa487-dcc4-40a4-9e0b-2c615e1e390e","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","4131befc-d059-4143-8d9c-88c6bec06d63","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","fc51b3ce-4530-4ae7-86b9-565836512f63","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","0e852bac-27d3-449f-b181-2b4db7726345","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","596964f0-991d-4b55-b4b2-554b8bb85163","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","316d93f0-01eb-4871-ae8f-b1448add84ae","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","ce2585f0-31a3-4bfc-8fe3-4a0b0640b5ef","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","3dc5a291-a373-4f6c-8a7b-818a59b62daa","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","44eaa098-13d7-4e2d-9d1d-4465dbc75112","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","9f0be493-7b78-4755-8b21-c0c8f2d443df","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","6707135b-01cd-4f5d-9c62-9e6c3d73a491","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","5e4ea316-bd27-4e47-8da4-a30dcd5b0392","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","f5fc763b-4601-47d4-90cd-192cba6c5996","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","6e60dcd8-e097-4e66-b6e9-8690751bab42","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","da656d23-ce93-45fc-b622-46bbd538722b","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","e3533ca6-0590-4fad-ad5c-7c384756f5b0","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","a7a3b40a-522f-4217-a9d3-00722e45d27a","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","7a44b53e-76c6-4ddd-9185-7dab219dd27d","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","9ea030c4-7418-445e-a4e3-6ed281def7ef","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing","45e693d3-152d-4ff8-acaf-1f24fb36f97c","49e8e6b2-a8a9-43ee-a736-17469ab4f725","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","a094fac4-0084-4efc-a018-fc5f832ab1ef","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","0646cc27-5ce2-49ed-917c-0159524fbb8b","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","b5a07eea-e59e-48b5-a4db-000c68127fd2","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","719548b6-f2f4-47f3-97fc-4bba9833c211","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","6c5c73f8-7e9a-402e-8d79-df8fd05f0462","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","73388f3c-1a87-419d-afd2-3cac3ff41f3e","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","939f5fd4-62f4-4069-b650-2a0f41e9c4cc","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","92a50bd2-e891-400b-bef4-9747fb0478d5","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","65d339de-3c08-454f-ad53-e43eb632f51c","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","93a0a4d0-9a06-4751-a0c9-a052c25fdee2","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","70cbca97-1591-44d7-8fcc-223b9b4d21d4","Shop Beer Shop Merch","1799",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","4876ce0d-4e11-47e8-a38a-aef978782100","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","0daf26b1-34e7-4366-988a-f9ae5c9389f0","Quick View","1899",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","c28ce1ef-4cd3-4375-beae-57031014f03a","Quick View Deep Dark","1699",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","cc5a4119-79fe-4df4-8cb6-5c93939cde4e","Quick View Pete's Pilsner","1499",""
"ecommerce-chrome","san-luis-obispo","CA","Central Coast Brewing | Higuera Street","72dcdf79-cc01-44f5-97aa-9b9d0ef34a88","53a2c52c-8ad6-4658-a8a9-91166e3435ef","Quick View","1899",""
"price-as-name","san-luis-obispo","CA","Charlie's Place","97e7f378-754f-47a6-b98c-56a429e70a26","6b626269-a7b7-4a41-84fd-87cd7b3871db","$8.50","850",""
"price-as-name","san-luis-obispo","CA","Charlie's Place","97e7f378-754f-47a6-b98c-56a429e70a26","bfa76545-8cc3-4131-900b-368d61dd63ff","$9.50","950",""
"price-as-name","san-luis-obispo","CA","Charlie's Place","97e7f378-754f-47a6-b98c-56a429e70a26","cde6e4da-39d1-433c-a2aa-a649a67e73e6","$11.50","1150",""
"price-as-name","san-luis-obispo","CA","Charlie's Place","97e7f378-754f-47a6-b98c-56a429e70a26","3544b590-f90d-4ded-9884-258c5b857016","$11.50","1150",""
"bare-soft-drink","san-mateo","CA","YAYOI Hillsdale","8b663f32-4f89-4717-87c4-7aca9111e495","757b86dd-8019-4cde-82da-70e9307a87de","Soft Drink","250",""
"bare-soft-drink","san-mateo","CA","YAYOI Hillsdale","8b663f32-4f89-4717-87c4-7aca9111e495","9116031c-4e62-43de-af6f-678215980144","Iced Tea","260",""
"bare-soft-drink","santa-barbara","CA","Bistro Amasa","cb95090a-c50d-4758-accb-db73535605d0","a9554c02-6e1e-4842-9440-627471e6bed5","COKE","1200",""
"nav-boilerplate","santa-barbara","CA","Bistro Amasa","cb95090a-c50d-4758-accb-db73535605d0","ceb7b48f-c877-488a-adbb-b68ef7a0088f","MENUS RESERVATIONS ABOUT CONTACT","600",""
"nav-boilerplate","santa-barbara","CA","Bistro Amasa","cb95090a-c50d-4758-accb-db73535605d0","90788351-69d5-445c-be6c-b74e3426b004","MENUS RESERVATIONS ABOUT CONTACT","600",""
"bare-soft-drink","santa-barbara","CA","Bistro Amasa","cb95090a-c50d-4758-accb-db73535605d0","35a5f050-d8ac-428f-a57c-c0f7e9aa4f79","SHRUB SODA Seasonal","800",""
"bare-soft-drink","santa-barbara","CA","Bistro Amasa","cb95090a-c50d-4758-accb-db73535605d0","69ec8644-5a03-4cee-82fb-2513e5c84f19","COKE","1200",""
"bare-soft-drink","santa-barbara","CA","Bistro Amasa","cb95090a-c50d-4758-accb-db73535605d0","930069e7-4b92-448c-a22b-100747c5d8e1","SHRUB SODA Seasonal","800",""
"nav-boilerplate","santa-barbara","CA","Giovanni's Pizza","67a4329f-2a70-4138-8eaf-55942ffc81e5","e03d2272-d6bd-4c48-b651-1c258d331511","Home About Menu Gallery","1095",""
"nav-boilerplate","scottsdale","AZ","Akamaru Scottsdale","8f645781-af68-4c89-bdd8-74539dae28e4","ee47ba50-d332-4cee-bf80-1b632c5bca59","Order Online Call Us","1700",""
"price-as-name","scottsdale","AZ","Blue Agave Mexican Cantina","132e18dc-74fd-48e5-a759-db9737e379ff","48859a3b-8f90-453e-af0f-a780d0ab42dd","$11.49","1149",""
"price-as-name","scottsdale","AZ","PopStroke","99b1277d-cf75-4d1d-ab70-fd0a9960cbd7","e93d37ef-a917-4253-989d-4bd2ac9e8707","$30","3000",""
"price-as-name","scottsdale","AZ","PopStroke","99b1277d-cf75-4d1d-ab70-fd0a9960cbd7","a878ec98-8b7a-4683-968c-936a88843d49","$18","1800",""
"price-as-name","scottsdale","AZ","PopStroke","99b1277d-cf75-4d1d-ab70-fd0a9960cbd7","f5e5e3f1-2189-47fa-9c56-1b72db51c624","$30","3000",""
"price-as-name","scottsdale","AZ","PopStroke","99b1277d-cf75-4d1d-ab70-fd0a9960cbd7","09c54d77-1821-427a-9828-b2b9023a14c4","$18","1800",""
"price-as-name","scottsdale","AZ","PopStroke","99b1277d-cf75-4d1d-ab70-fd0a9960cbd7","0a7c9231-b8bd-4966-b137-5054cb98c49f","$25","2500",""
"price-as-name","scottsdale","AZ","Raven's View","2c4fb88b-45d6-46ff-890c-ab19da7f21d8","e81ab354-edf3-4e38-96fc-5c3672d6d3c7","$30","3000",""
"price-as-name","spokane","WA","Chef Lu's Asian Bistro","490defc6-3c5f-46c1-af4e-44d1c62557bf","ff5f8c7f-7c2c-4bab-b0e8-d272033d3f99","$7.95","795",""
"price-as-name","spokane","WA","Chef Lu's Asian Bistro","490defc6-3c5f-46c1-af4e-44d1c62557bf","98b03755-9d30-49b9-9c48-1aba56814dc8","$7.95","795",""
"price-as-name","spokane","WA","Chef Lu's Asian Bistro","490defc6-3c5f-46c1-af4e-44d1c62557bf","a29d6e36-d415-49ec-963f-ed2ec200dd93","$7.95","795",""
"price-as-name","spokane","WA","Chef Lu's Asian Bistro","490defc6-3c5f-46c1-af4e-44d1c62557bf","2b8eef78-5f4c-42c2-aa22-41fbaeee41b1","$12.95","1295",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","8096b4a3-e2b5-43b1-880f-c19ae31e3513","$14.75","1475",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","26dbbe2a-dbb9-40e3-a5a4-23c2ad77d31d","$4.75","475",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","b370c991-c448-471f-b924-aaca315e132f","$20.00","2000",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","a5624600-9f20-4fe5-ad7d-206dd2810587","$4.75","475",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","f80d04c3-0d13-44ab-8822-c4d328856ab6","$20.00","2000",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","7311d414-8740-4303-b0c8-77c607439269","$25.00","2500",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","90262849-2e9d-4317-a8b0-646374635772","$22.25","2225",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","c61b82a8-cb52-4985-9237-4b661c8cfb19","$20.00","2000",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","8499286d-d409-473d-bffd-c52c86dd18c7","$3.50","350",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","ffd741c3-aafc-4543-a0c7-0d8217bab9ff","$25.00","2500",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","af5912bf-f0a4-4a8e-a6cc-371e040bff4c","$22.25","2225",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","3ef7e9b3-0807-47db-b69e-0b60c9bf548c","$20.00","2000",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","c85a4ab6-e2f2-4121-b879-af3bf932ea78","$3.50","350",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","08137550-6c57-4ee1-b38a-d3c5d79a1f0d","$3.50","350",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","0cf9d157-24a9-42d7-b64e-6c84cbb31034","$14.75","1475",""
"price-as-name","spokane","WA","China Dragon Restaurant | Chinese","5d5afd2f-adee-499f-a351-83be9cdee7b9","3e8ddc2a-7a33-4994-a002-f8163574de6d","$3.50","350",""
"price-as-name","spokane","WA","Happiness Chinese Restaurant","98a4aae5-24f8-496b-a5c5-f8ae45a98e14","3f4511fd-6212-4363-bf5f-b31f7d764714","$12.95","1295",""
"price-as-name","spokane","WA","Happiness Chinese Restaurant","98a4aae5-24f8-496b-a5c5-f8ae45a98e14","3933b227-cd08-4259-8bde-09d9d6b8e3aa","$8.55","855",""
"price-as-name","spokane","WA","Happiness Chinese Restaurant","98a4aae5-24f8-496b-a5c5-f8ae45a98e14","74413990-9e8c-410b-b51f-53260649d274","$8.95","895",""
"price-as-name","spokane","WA","Happiness Chinese Restaurant","98a4aae5-24f8-496b-a5c5-f8ae45a98e14","b436fee7-ab55-4633-af84-4f73f74ba777","$12.95","1295",""
"price-as-name","spokane","WA","Hi Neighbor Tavern","582cca06-c677-45f9-b922-7a2907f0ec07","39d88b90-7a75-4cea-b03a-7d9c331c0bdb","$4.50","450",""
"price-as-name","spokane","WA","Izumi Sushi & Asian Bistro","9795d036-6506-42e1-a332-2921f6488d46","672f1a40-d6f4-4b9f-b4d7-e38a1c7b133e","$5","500",""
"price-as-name","spokane","WA","Longhorn Barbecue","6471d9b3-a704-4d05-bb27-f0272cce2c0b","e10f0258-2fde-4bcb-88c2-8e9694bd46e5","$7.00","700",""
"price-as-name","spokane","WA","Longhorn Barbecue","6471d9b3-a704-4d05-bb27-f0272cce2c0b","b7a69e51-ad22-460a-a409-3c47e96e9b47","$4.00","400",""
"price-as-name","spokane","WA","Longhorn Barbecue","6471d9b3-a704-4d05-bb27-f0272cce2c0b","3ca99489-226a-4bf0-ae5f-95c181c596c4","$3.00","300",""
"price-as-name","spokane","WA","Longhorn Barbecue","6471d9b3-a704-4d05-bb27-f0272cce2c0b","c73b2ec5-5562-49c6-ba5b-03719c2eecb8","$5.00","500",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","185b0d8d-977b-4e2f-b603-e3c44698b6d0","$0.00","0",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","4c41c67f-371a-4a43-bf37-caeb63270897","$50.00","5000",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","aaddbb7f-aedb-4fad-8ef9-932d9abfd862","$50.01","5001",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","bc260497-01ce-4a94-8f1a-0e4a7b904db8","$100.00","10000",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","b556c3d4-d0d6-4ea4-a603-77f871d95ffa","$0.00","0",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","99c1bee7-d8f6-43ed-9ded-eb6281e58360","$100.01","10001",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","5c5ef1a0-df05-466d-a688-7fc3daf77946","$0.00","0",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","a6f58648-c854-4d5c-b5d1-b96dee35f83d","$0.00","0",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","04b96a22-51a4-4f12-88c9-d8130d6e7ecd","$50.00","5000",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","ef8a6c1c-30be-4bc2-aaa6-438965b66750","$50.01","5001",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","58b048a2-2d73-4526-900c-d47cc948a5c3","$100.00","10000",""
"price-as-name","tucson","AZ","Anthony's Cigar Emporium","e1715f1c-c827-4698-bb3c-c04c14d3672f","54639020-1576-4e0b-aeef-eb4b62d76c58","$100.01","10001",""
"price-as-name","tucson","AZ","Bianchi's","47df8e12-60b4-47fd-a3b7-8da750a7803b","7dbbb4ef-5dba-4085-b721-43d337c0168a","$3.75","375",""
"price-as-name","tucson","AZ","Bianchi's","47df8e12-60b4-47fd-a3b7-8da750a7803b","d57195c1-8769-4b56-a743-d98fdbaa9a51","$12.00","1200",""
"price-as-name","tucson","AZ","Bianchi's","47df8e12-60b4-47fd-a3b7-8da750a7803b","403fbc84-3809-4513-b807-4474d965fd9c","$3.75","375",""
"price-as-name","tucson","AZ","Bianchi's","47df8e12-60b4-47fd-a3b7-8da750a7803b","6407e5df-71e2-46f7-9920-7f1b8fe03c89","$12.00","1200",""
"price-as-name","tucson","AZ","Famous Sam's on Golf Links","83d9e67b-8296-4e1a-9811-4d295aa4ac64","ecd920e3-3c22-4eeb-9001-32e5a7fda99c","$6.99","699",""
"price-as-name","tucson","AZ","New Asia Chinese Restaurant","bfd91525-1787-46c0-9c74-7557350f3faa","8f87edf4-7943-4a92-814f-47cff3f9b88a","$1","100",""
"price-as-name","tucson","AZ","New Asia Chinese Restaurant","bfd91525-1787-46c0-9c74-7557350f3faa","8a4cc646-b63f-4fe2-aeac-43e29cd30ac0","$1","100",""
"price-as-name","tucson","AZ","New Asia Chinese Restaurant","bfd91525-1787-46c0-9c74-7557350f3faa","3b492ee6-b25a-4311-9e70-891abffab7d0","$1","100",""
"price-as-name","tucson","AZ","New Asia Chinese Restaurant","bfd91525-1787-46c0-9c74-7557350f3faa","cbd63fe1-6dfd-45cc-b3a0-aadaf83dcf67","$1","100",""
"price-as-name","tucson","AZ","New Asia Chinese Restaurant","bfd91525-1787-46c0-9c74-7557350f3faa","47e5e2d3-41fb-438f-a8b0-fc922517a6f0","$1","100",""
"price-as-name","tucson","AZ","New Asia Chinese Restaurant","bfd91525-1787-46c0-9c74-7557350f3faa","f4feefd2-38d1-4ad1-840d-97970c801608","$1","100",""
"bare-soft-drink","tucson","AZ","Ole' Mexican Grill","2ab6b4bc-7066-4c47-ae1e-4c12a8f793d0","24569cdf-cb90-4dc4-a1ff-2cbd14f983a8","Lemonade","319",""
